Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://star-toner.com/,,-,0.0,n/a,0,301,0.245,0,0,0,0,0,-,0,0,1,0,0,-,-,0,0,0,-,
https://star-toner.com/llms.txt,,-,-,n/a,0,301,0.084,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,
https://star-toner.com/robots.txt,,-,-,n/a,0,301,0.099,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,n/a
https://www.star-toner.com,Tóner Compatible Barato | ISO 9001| Envío 24h | Startoner,83,0.002407115291803025,n/a,2,200,0.421,0,1,1,1,0,Self-canonical,0,1,35,0,0,1,0,32,224,7,tóner compatible y cartuchos de tinta con calidad iso 9001. mismo rendimiento que el original. envío 24h en españa. garantía 2 años.,
https://www.star-toner.com/,Tóner Compatible Barato | ISO 9001| Envío 24h | Startoner,96,0.02053986043022989,n/a,0,200,0.195,0,1,1,1,0,Self-canonical,1,251,34,0,0,1,0,33,224,7,tóner compatible y cartuchos de tinta con calidad iso 9001. mismo rendimiento que el original. envío 24h en españa. garantía 2 años.,
https://www.star-toner.com/account,,-,0.020914346145178564,n/a,1,0,0.0,0,0,0,0,0,-,0,251,0,0,0,-,-,0,0,1,-,"ChatGPT-User, OAI-SearchBot, Googlebot, Google-Extended, Perplexity-User, Claude-User, Claude-SearchBot"
https://www.star-toner.com/blogs/blogs,,-,0.02792694611354974,n/a,1,301,0.27,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://www.star-toner.com/blogs/cartucho-tinta-toner-compatible-noticias,,-,0.020914346145178564,n/a,1,301,0.205,0,0,0,0,0,-,0,251,1,0,0,-,-,0,0,0,-,
https://www.star-toner.com/blogs/news,Blog de Impresión | Guías de Tóner y Cartuchos | Startoner,100,0.041002202124751475,n/a,1,200,0.325,0,1,1,1,0,Self-canonical,1,15,33,0,0,2,0,36,228,4,"guías sobre tóner compatible, cartuchos de tinta, impresoras y ahorro en impresión. consejos técnicos, comparativas y novedades del sector.",
https://www.star-toner.com/blogs/news/cartucho-de-tinta-o-toner-cual-elegir-segun-tu-necesidad,Cartucho de tinta o tóner: cuál elegir según cuánto imprimes | St,2,0.001992619946319849,n/a,3,200,0.288,0,1,1,1,0,Self-canonical,1,1,27,0,0,1,0,34,226,6,"cartucho de tinta o toner cuando se trata de elegir consumibles para tu impresora, una de las dudas más comunes es: ¿cartucho de tinta o tóner?",
